recalling_firm_normalized,recall_count,unique_event_count,class_i_count,class_i_pct,first_report_date,latest_report_date,median_reporting_lag_days,active_year_count
LUPIN PHARMACEUTICALS INC,54,40,1,1.85,2021-02-10,2026-07-08,28.0,6
SENTARA INFUSION SERVICES,53,1,0,0.0,2023-02-22,2023-02-22,57.0,1
ASTRAL STERITECH PRIVATE LTD,52,1,0,0.0,2023-05-24,2023-05-24,9.0,1
TMC ACQUISITION LLC DBA TAILOR MADE COMPOUNDING,52,1,0,0.0,2022-07-20,2022-07-20,135.0,1
TEVA PHARMACEUTICALS USA INC,50,34,2,4.0,2022-04-20,2026-05-13,27.0,5
ZYDUS PHARMACEUTICALS USA INC,49,27,2,4.08,2021-04-07,2026-05-27,20.0,6
AMERISOURCE HEALTH SERVICES LLC,46,31,1,2.17,2022-08-24,2026-05-27,27.5,5
CARDINAL HEALTHCARE,42,1,0,0.0,2024-01-03,2024-01-03,707.0,1
PFIZER INC,41,19,11,26.83,2021-05-26,2025-08-27,33.0,5
FIRST ROYAL CARE CO LLC DBA RED MOUNTAIN COMPOUNDING PHARMACY,40,1,0,0.0,2021-11-03,2021-11-03,82.0,1
PREFERRED PHARMACEUTICALS INC,38,19,0,0.0,2021-05-05,2026-04-15,20.0,6
SCA PHARMACEUTICALS,38,5,0,0.0,2021-01-13,2023-08-02,27.0,3
ASCEND LABORATORIES LLC,37,26,0,0.0,2021-01-06,2026-07-29,27.0,6
STERRX LLC,35,4,1,2.86,2021-09-01,2023-07-26,54.0,3
CAREFUSION 213 LLC,34,11,12,35.29,2021-03-03,2026-07-22,33.0,4
REMEDYREPACK INC,34,18,0,0.0,2021-09-01,2025-05-14,23.0,5
ULTRATAB LABORATORIES INC,34,2,0,0.0,2022-01-12,2022-02-16,21.0,1
PHARMACY PLUS INC DBA VITAL CARE COMPOUNDER,33,2,0,0.0,2022-11-09,2023-04-26,33.0,2
DIRECT RX,32,16,0,0.0,2021-03-24,2026-07-01,23.0,6
SCA PHARMACEUTICALS LLC,32,1,0,0.0,2024-04-03,2024-04-03,146.0,1
BRECKENRIDGE PHARMACEUTICAL INC,30,17,0,0.0,2021-03-24,2026-06-17,19.0,5
FRESENIUS KABI USA LLC,29,10,3,10.34,2021-01-06,2026-07-29,35.0,5
GOLD STAR DISTRIBUTION INC,27,1,0,0.0,2026-01-21,2026-01-21,26.0,1
F H INVESTMENTS INC DBA ASTERIA HEALTH,25,1,0,0.0,2026-02-18,2026-02-18,23.0,1
NORTHERN VA COMPOUNDERS PLLC,25,1,0,0.0,2023-01-18,2023-01-18,19.0,1
B BRAUN MEDICAL INC,24,17,4,16.67,2022-03-23,2026-05-13,19.0,5
GOLDEN STATE MEDICAL SUPPLY INC,24,16,1,4.17,2021-03-31,2026-06-17,27.0,6
PLASTIKON HEALTHCARE LLC,24,2,6,25.0,2022-05-25,2022-09-14,99.0,1
THE HARVARD DRUG GROUP LLC DBA MAJOR PHARMACEUTICALS AND RUGBY LABORATORIES,24,15,4,16.67,2023-06-28,2025-10-15,28.5,3
CIPLA USA INC,23,13,1,4.35,2023-07-19,2026-07-08,33.0,4
GUARDIAN DRUG CO INC,23,1,0,0.0,2026-06-10,2026-06-10,13.0,1
VIATRIS INC,23,11,1,4.35,2022-05-11,2026-04-15,30.0,5
ACME UNITED CORPORATION,22,2,0,0.0,2025-11-05,2026-03-11,50.0,2
DENVER SOLUTIONS LLC DBA LEITERS HEALTH,22,6,6,27.27,2021-12-29,2025-04-30,30.0,4
DERMARITE INDUSTRIES LLC,22,2,4,18.18,2025-09-10,2025-11-26,91.0,1
KILITCH HEALTHCARE INDIA LIMITED,22,1,22,100.0,2024-02-14,2024-02-14,93.0,1
APOTEX CORP,21,14,2,9.52,2021-02-17,2026-04-22,21.0,6
IMPRIMIS NJOF LLC,21,14,0,0.0,2021-01-06,2026-01-14,22.0,5
AUROBINDO PHARMA USA INC,20,16,1,5.0,2021-03-10,2025-06-25,34.0,5
AVKARE,20,14,1,5.0,2024-04-24,2026-03-04,22.5,3
BAYER HEALTHCARE PHARMACEUTICALS INC,20,2,9,45.0,2021-11-24,2023-12-06,54.0,2
CAROLINA INFUSION,20,1,0,0.0,2022-09-21,2022-09-21,26.0,1
JOHNSON JOHNSON CONSUMER INC,20,1,2,10.0,2021-10-06,2021-10-06,84.0,1
KENIL HEALTHCARE PRIVATE LIMITED,20,1,0,0.0,2025-05-28,2025-05-28,34.0,1
KEYSTONE INDUSTRIES,20,3,0,0.0,2024-11-20,2026-06-24,41.0,2
THE PROCTER GAMBLE COMPANY,20,2,7,35.0,2022-08-03,2024-01-24,792.0,2
VI JON LLC,20,7,12,60.0,2022-06-08,2023-09-27,68.0,2
MACLEODS PHARMA USA INC,19,12,0,0.0,2021-04-21,2026-04-01,26.0,5
PINE PHARMACEUTICALS LLC,19,4,0,0.0,2022-09-21,2023-10-25,23.0,2
SCENTSATIONAL SOAPS CANDLES INC,19,1,19,100.0,2021-07-28,2021-07-28,92.0,1
NOVEN PHARMACEUTICALS INC,18,9,0,0.0,2021-03-10,2024-11-27,19.0,4
